kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,persentase_penduduk_miskin,indeks_keparahan_kemiskinan,indeks_pembangunan_manusia,tingkat_pengangguran_terbuka,garis_kemiskinan,skor_kerentanan_sosial,cluster_id,cluster_vulnerability_tier,profil_ekonomi,tipe_administratif,pc1,pc2,tren_slope_poin_per_tahun,tren_kemiskinan,level_kerentanan,prioritas_aksi
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2024,11.88,0.53,71.26,7.78,420867.0,1.2018,0,kerentanan_tinggi,rural_agraris,kabupaten,1.9334,1.801,-0.0026,stabil,tinggi,intervensi_intensif
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2024,11.93,0.54,69.83,6.25,560159.0,1.0761,0,kerentanan_tinggi,rural_agraris,kabupaten,2.4484,1.0332,0.0606,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3203,KABUPATEN CIANJUR,2024,10.14,0.41,67.24,5.99,466509.0,0.7443,0,kerentanan_tinggi,rural_agraris,kabupaten,1.8983,0.2038,0.1114,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3213,KABUPATEN SUBANG,2024,9.49,0.46,71.36,6.73,434161.0,0.6687,0,kerentanan_tinggi,rural_agraris,kabupaten,1.3042,0.846,0.2057,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3209,KABUPATEN CIREBON,2024,11.0,0.36,71.44,6.74,475046.0,0.6097,0,kerentanan_tinggi,rural_agraris,kabupaten,1.2393,0.5496,0.1397,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2024,10.82,0.45,69.74,4.01,547912.0,0.4586,0,kerentanan_tinggi,rural_agraris,kabupaten,2.2775,-0.5274,0.0786,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2024,9.1,0.45,73.73,6.16,422714.0,0.3969,0,kerentanan_tinggi,rural_agraris,kabupaten,0.9943,0.5575,-0.0863,membaik,tinggi,intervensi_intensif
32,JAWA BARAT,3205,KABUPATEN GARUT,2024,9.68,0.29,68.79,6.96,393464.0,0.5188,1,kerentanan_menengah,campuran,kabupaten,0.9484,0.229,0.0754,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2024,10.49,0.23,70.03,6.7,455325.0,0.3696,1,kerentanan_menengah,campuran,kabupaten,0.792,-0.0572,0.1474,memburuk,tinggi,prioritas_segera
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2024,8.41,0.35,72.65,7.34,467948.0,0.3641,1,kerentanan_menengah,campuran,kabupaten,0.3537,0.6835,0.1454,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3215,KABUPATEN KARAWANG,2024,7.86,0.28,72.9,8.04,597345.0,0.2611,1,kerentanan_menengah,campuran,kabupaten,-0.2092,0.7309,0.0191,stabil,sedang,pemantauan
32,JAWA BARAT,3278,KOTA TASIKMALAYA,2024,11.1,0.26,75.04,6.49,565377.0,0.1846,1,kerentanan_menengah,campuran,kota,0.4742,0.1282,-0.2066,membaik,sedang,pemantauan
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2024,6.87,0.2,68.97,7.11,416751.0,0.0798,1,kerentanan_menengah,campuran,kabupaten,-0.091,-0.2238,0.0757,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3201,KABUPATEN BOGOR,2024,7.05,0.26,72.39,7.34,513512.0,0.0662,1,kerentanan_menengah,campuran,kabupaten,-0.2762,0.2337,0.0083,stabil,sedang,pemantauan
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2024,10.23,0.15,68.36,3.74,400148.0,-0.1676,1,kerentanan_menengah,campuran,kabupaten,1.182,-1.9308,0.1414,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3274,KOTA CIREBON,2024,9.02,0.25,77.08,6.29,545592.0,-0.1765,1,kerentanan_menengah,campuran,kota,-0.2467,-0.0878,0.0503,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3279,KOTA BANJAR,2024,5.85,0.29,73.64,5.44,430590.0,-0.3405,1,kerentanan_menengah,campuran,kota,-0.2228,-0.6477,0.0434,stabil,rendah,rutin
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2024,8.75,0.29,69.85,1.58,470068.0,-0.4315,1,kerentanan_menengah,campuran,kabupaten,1.6254,-2.5169,0.1383,memburuk,rendah,pantau
32,JAWA BARAT,3207,KABUPATEN CIAMIS,2024,7.39,0.2,72.56,3.37,467497.0,-0.6239,1,kerentanan_menengah,campuran,kabupaten,0.2936,-1.9835,0.0814,memburuk,rendah,pantau
32,JAWA BARAT,3272,KOTA SUKABUMI,2024,7.2,0.18,76.85,8.34,678258.0,-0.174,2,kerentanan_rendah,urban_industri,kota,-1.2927,0.549,0.052,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3271,KOTA BOGOR,2024,6.53,0.24,78.52,8.13,699861.0,-0.2398,2,kerentanan_rendah,urban_industri,kota,-1.3723,0.6846,0.1037,memburuk,sedang,peringatan_dini
32,JAWA BARAT,3216,KABUPATEN BEKASI,2024,4.8,0.17,76.44,8.82,674924.0,-0.331,2,kerentanan_rendah,urban_industri,kabupaten,-1.9144,0.5909,0.1166,memburuk,rendah,pantau
32,JAWA BARAT,3277,KOTA CIMAHI,2024,4.39,0.21,80.08,8.97,612567.0,-0.4656,2,kerentanan_rendah,urban_industri,kota,-2.3234,0.8975,-0.0454,stabil,rendah,rutin
32,JAWA BARAT,3204,KABUPATEN BANDUNG,2024,6.19,0.09,74.27,6.36,455636.0,-0.6076,2,kerentanan_rendah,urban_industri,kabupaten,-1.1853,-0.9407,-0.018,stabil,rendah,rutin
32,JAWA BARAT,3275,KOTA BEKASI,2024,4.01,0.21,83.54,7.82,842927.0,-0.8622,2,kerentanan_rendah,urban_industri,kota,-2.6155,0.3858,-0.0043,stabil,rendah,rutin
32,JAWA BARAT,3273,KOTA BANDUNG,2024,3.87,0.14,83.52,7.4,614707.0,-1.0782,2,kerentanan_rendah,urban_industri,kota,-2.8411,-0.114,0.064,memburuk,rendah,pantau
32,JAWA BARAT,3276,KOTA DEPOK,2024,2.34,0.07,82.91,6.27,843893.0,-1.5019,2,kerentanan_rendah,urban_industri,kota,-3.1741,-1.0747,0.0311,stabil,rendah,rutin
